"[0.4095396781043642, 0.42362843406428197, 0.42619516097815935, 0.42707932640792456, 0.41684327136938737]","[0.44599532483110005, 0.4330579590076094, 0.44603498669186975, 0.4909958419906106, 0.4197526109066738]","[0.47011858756375163, 0.44965551926451885, 0.4476452097771274, 0.4773976810418876, 0.4588855080733633]","[0.489906423600616, 0.5737599392605436, 0.5698442102237872, 0.58592269830643, 0.522120330079346]","[0.5592775965572163, 0.6637622619130809, 0.7324635287758651, 0.7061033814576021, 0.6967133615806604]"
"[84.56, 84.03, 83.58, 83.74, 84.31]","[83.13, 83.86, 82.98, 81.15, 83.93]","[82.79, 83.18, 82.74, 81.66, 82.56]","[81.36, 78.07, 78.6, 77.19, 79.69]","[78.36, 74.41, 71.25, 72.43, 73.35]"
