"[0.6195470174638237, 0.6361965919897808, 0.6409323048300859, 0.6193692122048479, 0.6174598525210124]","[0.6524229093295771, 0.6484424893448992, 0.6425412893295288, 0.6458999354664873, 0.6357925737776408]","[0.658629086928639, 0.6484334139319939, 0.6562858189993758, 0.6509650819669894, 0.658882591297956]","[0.6644658640148194, 0.6579474060516047, 0.647767271452803, 0.6656638364481732, 0.6425421552929452]"
"[62.06808292807781, 59.04786281034041, 59.89250063987714, 62.91272075761454, 61.60737138469414]","[57.563347837215254, 57.05144612234451, 59.1758382390581, 56.9746608651139, 61.04427949833632]","[53.570514461223446, 57.07704120808805, 61.095469669823395, 57.25620680829281, 46.429485538776554]","[62.1960583567955, 52.11159457384182, 56.53954440747376, 55.64371640644996, 60.455592526234966]"
